refmet_name,refmet_id,super_class,main_class,sub_class,diet_source_reported_names,diet_analysis_ids,diet_analysis_feature_ids,exercise_source_reported_names,exercise_analysis_ids,exercise_analysis_feature_ids,mapping_status,mapping_confidence,mapping_evidence,exercise_standard_collision,include_in_conservative_biological_overlap,decision_reason
"1,7-Dimethyluric acid",RM0033507,Nucleic acids,Purines,Xanthines,"1,7-Dimethyluric acid",AN002533; AN002536,ST001521|AN002533|ME367555; ST001521|AN002536|ME367993,"1,7-Dimethyluric acid",AN005484,ST003348|AN005484|ME875630,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
1-Methyl nicotinamide,RM0030166,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,1-Methyl nicotinamide,AN002533,ST001521|AN002533|ME367488,1-Methylnicotinamide,AN005483,ST003348|AN005483|ME875275,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
1-Methyladenosine,RM0156409,Nucleic acids,Purines,Purine ribonucleosides,1-Methyladenosine,AN002533,ST001521|AN002533|ME367549,1-Methyladenosine,AN005483,ST003348|AN005483|ME875412,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
"12,13-DiHOME",RM0138124,Fatty Acyls,Octadecanoids,DiHOME,"12,13-DiHOME",AN002536,ST001521|AN002536|ME367916,"12,13-DHOME",AN005484,ST003348|AN005484|ME875744,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
2-Aminocaprylic acid,RM0140624,Fatty Acyls,Fatty acids,Amino FA,2-Aminooctanoic acid,AN002533; AN002536,ST001521|AN002533|ME367571; ST001521|AN002536|ME367922,2-Aminooctanoic acid,AN005483,ST003348|AN005483|ME875299,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
2-Hydroxyglutaric acid,RM0153554,Fatty Acyls,Fatty acids,Dicarboxylic acids,2-Hydroxyglutaric acid,AN002535,ST001521|AN002535|ME367900,2-Hydroxyglutaric acid,AN005484,ST003348|AN005484|ME875591,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
2-Hydroxymyristic acid,RM0153127,Fatty Acyls,Fatty acids,Hydroxy FA,2-Hydroxymyristic acid,AN002536,ST001521|AN002536|ME367935,2-Hydroxymyristic acid(FFA(14:0-OH),AN005484,ST003348|AN005484|ME875663,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
2-Methylguanosine,RM0156402,Nucleic acids,Purines,Purine ribonucleosides,2-Methylguanosine,AN002533,ST001521|AN002533|ME367550,2-Methylguanosine,AN005483,ST003348|AN005483|ME875427,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
2-Oxoglutaric acid,RM0135911,Organic acids,TCA acids,TCA acids,Oxoglutaric acid,AN002535,ST001521|AN002535|ME367904,Oxoglutaric acid,AN005484,ST003348|AN005484|ME875590,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
3-Dehydroxycarnitine,RM0136342,Fatty Acyls,Fatty esters,Acyl carnitines,3-Dehydroxycarnitine,AN002533,ST001521|AN002533|ME367489,4-Trimethylammoniobutanoic acid,AN005483,ST003348|AN005483|ME875286,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
