study_id,study_role,analysis_id,analysis_summary,source_metabolite_id,analysis_feature_id,source_reported_name,refmet_name,refmet_id,super_class,main_class,sub_class,mapping_status,mapping_confidence,mapping_evidence,isotope_internal_standard_row,standard_detection_evidence,row_decision
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367555,ST001521|AN002533|ME367555,"1,7-Dimethyluric acid","1,7-Dimethyluric acid",RM0033507,Nucleic acids,Purines,Xanthines,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367488,ST001521|AN002533|ME367488,1-Methyl nicotinamide,1-Methyl nicotinamide,RM0030166,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367549,ST001521|AN002533|ME367549,1-Methyladenosine,1-Methyladenosine,RM0156409,Nucleic acids,Purines,Purine ribonucleosides,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367553,ST001521|AN002533|ME367553,1-Methylguanine,1-Methylguanine,RM0171509,Nucleic acids,Purines,Hypoxanthines,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367471,ST001521|AN002533|ME367471,1-Methylhistamine,1-Methylhistamine,RM0028125,Alkaloids,Histidine alkaloids,Imidazole alkaloids,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367571,ST001521|AN002533|ME367571,2-Aminooctanoic acid,2-Aminocaprylic acid,RM0140624,Fatty Acyls,Fatty acids,Amino FA,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367550,ST001521|AN002533|ME367550,2-Methylguanosine,2-Methylguanosine,RM0156402,Nucleic acids,Purines,Purine ribonucleosides,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367556,ST001521|AN002533|ME367556,3-(N-Acetyl-L-cystein-S-yl) acetaminophen,3-(N-Acetyl-L-cystein-S-yl) acetaminophen,RM0156397,Benzenoids,Phenols,Aminophenols,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367461,ST001521|AN002533|ME367461,3-Amino-isobutanoic acid,3-Aminoisobutanoic acid,RM0153208,Fatty Acyls,Fatty acids,Amino FA,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
ST001521,diet,AN002533,HILIC POSITIVE ION MODE,ME367489,ST001521|AN002533|ME367489,3-Dehydroxycarnitine,3-Dehydroxycarnitine,RM0136342,Fatty Acyls,Fatty esters,Acyl carnitines,mapped_by_repository_refmet_field,repository-provided; exact class-name lookup; not independently verified,MW /data refmet_name; RefMet classification cache exact-name match,False,No explicit stable-isotope suffix detected,Retain as biological candidate; preserve analysis identity
