super_class,main_class,refmet_count
Organic acids,Amino acids and peptides,37
Fatty Acyls,Fatty acids,25
Fatty Acyls,Fatty esters,15
Nucleic acids,Purines,11
Sterol Lipids,Bile acids,8
Alkaloids,Pyridine alkaloids,7
Alkaloids,Tryptophan alkaloids,4
Nucleic acids,Pyrimidines,4
Organic acids,TCA acids,3
Sphingolipids,Sphingoid bases,3
Alkaloids,Histidine alkaloids,2
Alkaloids,Ornithine alkaloids,2
Fatty Acyls,Fatty amides,2
Fatty Acyls,Octadecanoids,2
Glycerophospholipids,Glycerophosphocholines,2
Organic acids,Short-chain acids,2
Organoheterocyclic compounds,Bilirubins,2
Sterol Lipids,Steroids,2
Alkaloids,Alkaloids,1
Alkaloids,Anthranilic acid alkaloids,1
Benzenoids,Benzenes,1
Carbohydrates,Monosaccharides,1
Organic acids,Organic phosphoric acids,1
Organic acids,Phenylpropanoids,1
Organic nitrogen compounds,Amine oxides,1
Organic nitrogen compounds,Carnitines,1
Organic nitrogen compounds,Cholines,1
Organoheterocyclic compounds,Azoles,1
Organoheterocyclic compounds,Cyclic ureas,1
Organoheterocyclic compounds,Lactones,1
